nombre_canton;Lat;Long
pedernales;0.0683285;-801.448.423
puerto lopez;-15.543.746;-80.824.957
jama;-0.204577;-0.204577
san vicente;-0.5968987;-804.228.402
limon indanza;-30.522.555;-786.361.809
santiago;-37.899.197;-792.890.381
huamboya;-19.450.432;-779.953.981
san juan bosco;-31.031.689;-785.291.868
logrono;-2.620.122;-782.255.245
pablo sexto;-1928333;-78027222
tiwintza;-3048382;-78007049
tena;-0.9938;-778128586
archidona;-0.9095000;-778.077.200
el chaco;-0.338881;-77.809.892
quijos;-0.45;-778.833.333
carlos julio arosemena tola;-1.165.909;-77.855.640
santa clara;-1.3;-778.833
arajuno;-123.333;-776.667
cayambe;0.05;-781.333
mejia;-0.5;-785.667
pedro moncayo;0.05;-78.2
san miguel de los bancos;0.016667;-788.833
puerto quito;0.116667;-792.667
banos de agua santa;-1.4;-784.167
cevallos;-1.35;-786.167
mocha;-141.667;-786.667
patate;-1.31667  ;-785.167
quero;-138.333;-786.167
san pedro de pelileo;-138.333;-78.3
santiago de pillaro;-11.776.428;-785.552.717
tisaleo;-13.480.719;-786.729.348
zamora;-786.729.348;-789.567
chinchipe;-486.667;-79.15
nangaritza;-4.315.809;-79.027.592
yacuambi;-393.333;-78.85
el pangui;-3.625;-785.869
centinela del condor;-39.484.583;-79.027.592
palanda;-4.65     ;-79.15
paquisha;-3.93  ;-786.742
gonzalo pizarro;0.016111;-773.781
putumayo;0.116667;-758.667
shushufindi;-0.3;-764.167
sucumbios;0.3333333;-774.166.667
cascales;-4.315.809;-79.027.592
orellana;-4.315.809;-79.027.592
aguarico;-4.315.809;-79.027.592
la joya de los sachas;-0.316667;-76.85
loreto;-0.666667;-773.167
salinas;-4.315.809;-79.027.592
